x,y,
1.67E+12,3.099131944,12/10/2022 5:30
1.67E+12,3.105555556,12/10/2022 6:00
1.67E+12,3.103298611,12/10/2022 6:30
1.67E+12,3.103472222,12/10/2022 7:00
1.67E+12,3.110763889,12/10/2022 7:30
1.67E+12,3.104166667,12/10/2022 8:00
1.67E+12,3.096875,12/10/2022 8:30
1.67E+12,3.087673611,12/10/2022 9:00
1.67E+12,3.090972222,12/10/2022 9:30
1.67E+12,3.0921875,12/10/2022 10:00
1.67E+12,3.093576389,12/10/2022 10:30
1.67E+12,3.096006944,12/10/2022 11:00
1.67E+12,3.093923611,12/10/2022 11:30
1.67E+12,3.101041667,12/10/2022 12:00
1.67E+12,3.104340278,12/10/2022 12:30
1.67E+12,3.100520833,12/10/2022 13:00
1.67E+12,3.100520833,12/10/2022 13:30
1.67E+12,3.105555556,12/10/2022 14:00
1.67E+12,3.106076389,12/10/2022 14:30
1.67E+12,3.115451389,12/10/2022 15:00
1.67E+12,3.120486111,12/10/2022 15:30
1.67E+12,3.125694444,12/10/2022 16:00
1.67E+12,3.123958333,12/10/2022 16:30
1.67E+12,3.121701389,12/10/2022 17:00
1.67E+12,3.115277778,12/10/2022 17:30
1.67E+12,3.108159722,12/10/2022 18:00
1.67E+12,3.106944444,12/10/2022 18:30
1.67E+12,3.103993056,12/10/2022 19:00
1.67E+12,3.10625,12/10/2022 19:30
1.67E+12,3.106770833,12/10/2022 20:00
1.67E+12,3.1046875,12/10/2022 20:30
1.67E+12,3.102604167,12/10/2022 21:00
1.67E+12,3.103993056,12/10/2022 21:30
1.67E+12,3.101909722,12/10/2022 22:00
1.67E+12,3.108159722,12/10/2022 22:30
1.67E+12,3.103125,12/10/2022 23:00
1.67E+12,3.102951389,12/10/2022 23:30
1.67E+12,3.110243056,13/10/2022 0:00
1.67E+12,3.100520833,13/10/2022 0:30
1.67E+12,3.1046875,13/10/2022 1:00
1.67E+12,3.0953125,13/10/2022 1:30
1.67E+12,3.1015625,13/10/2022 2:00
1.67E+12,3.099305556,13/10/2022 2:30
1.67E+12,3.097569444,13/10/2022 3:00
1.67E+12,3.104861111,13/10/2022 3:30
1.67E+12,3.115625,13/10/2022 4:00
1.67E+12,3.119791667,13/10/2022 4:30
1.67E+12,3.1234375,13/10/2022 5:00
1.67E+12,3.124826389,13/10/2022 5:30
1.67E+12,3.115625,13/10/2022 6:00
1.67E+12,3.111631944,13/10/2022 6:30
1.67E+12,3.109027778,13/10/2022 7:00
1.67E+12,3.1078125,13/10/2022 7:30
1.67E+12,3.113715278,13/10/2022 8:00
1.67E+12,3.115277778,13/10/2022 8:30
1.67E+12,3.122048611,13/10/2022 9:00
1.67E+12,3.117361111,13/10/2022 9:30
1.67E+12,3.1171875,13/10/2022 10:00
1.67E+12,3.109722222,13/10/2022 10:30
1.67E+12,3.105729167,13/10/2022 11:00
1.67E+12,3.10625,13/10/2022 11:30
1.67E+12,3.104513889,13/10/2022 12:00
1.67E+12,3.094618056,13/10/2022 12:30
1.67E+12,3.094444444,13/10/2022 13:00
1.67E+12,3.099479167,13/10/2022 13:30
1.67E+12,3.103819444,13/10/2022 14:00
1.67E+12,3.104513889,13/10/2022 14:30
1.67E+12,3.099826389,13/10/2022 15:00
1.67E+12,3.103472222,13/10/2022 15:30
1.67E+12,3.103819444,13/10/2022 16:00
1.67E+12,3.099652778,13/10/2022 16:30
1.67E+12,3.097569444,13/10/2022 17:00
1.67E+12,3.102083333,13/10/2022 17:30
1.67E+12,3.103819444,13/10/2022 18:00
1.67E+12,3.1,13/10/2022 18:30
1.67E+12,3.100520833,13/10/2022 19:00
1.67E+12,3.103298611,13/10/2022 19:30
1.67E+12,3.108506944,13/10/2022 20:00
1.67E+12,3.105034722,13/10/2022 20:30
1.67E+12,3.116493056,13/10/2022 21:00
1.67E+12,3.126909722,13/10/2022 21:30
1.67E+12,3.125520833,13/10/2022 22:00
1.67E+12,3.122222222,13/10/2022 22:30
1.67E+12,3.128993056,13/10/2022 23:00
1.67E+12,3.122048611,13/10/2022 23:30
1.67E+12,3.123090278,14/10/2022 0:00
1.67E+12,3.130208333,14/10/2022 0:30
1.67E+12,3.135590278,14/10/2022 1:00
1.67E+12,3.142361111,14/10/2022 1:30
1.67E+12,3.1359375,14/10/2022 2:00
1.67E+12,3.134722222,14/10/2022 2:30
1.67E+12,3.136979167,14/10/2022 3:00
1.67E+12,3.137326389,14/10/2022 3:30
1.67E+12,3.137847222,14/10/2022 4:00
1.67E+12,3.141493056,14/10/2022 4:30
1.67E+12,3.155381944,14/10/2022 5:00
1.67E+12,3.159722222,14/10/2022 5:30
1.67E+12,3.172222222,14/10/2022 6:00
1.67E+12,3.175,14/10/2022 6:30
1.67E+12,3.178125,14/10/2022 7:00
1.67E+12,3.185763889,14/10/2022 7:30
1.67E+12,3.184722222,14/10/2022 8:00
1.67E+12,3.189583333,14/10/2022 8:30
1.67E+12,3.196354167,14/10/2022 9:00
1.67E+12,3.203819444,14/10/2022 9:30
1.67E+12,3.204513889,14/10/2022 10:00
1.67E+12,3.213715278,14/10/2022 10:30
1.67E+12,3.222743056,14/10/2022 11:00
1.67E+12,3.227083333,14/10/2022 11:30
1.67E+12,3.228645833,14/10/2022 12:00
1.67E+12,3.238194444,14/10/2022 12:30
1.67E+12,3.245659722,14/10/2022 13:00
1.67E+12,3.251215278,14/10/2022 13:30
1.67E+12,3.253993056,14/10/2022 14:00
1.67E+12,3.258159722,14/10/2022 14:30
1.67E+12,3.264930556,14/10/2022 15:00
1.67E+12,3.266319444,14/10/2022 15:30
1.67E+12,3.263541667,14/10/2022 16:00
1.67E+12,3.270833333,14/10/2022 16:30
1.67E+12,3.278472222,14/10/2022 17:00
1.67E+12,3.282118056,14/10/2022 17:30
1.67E+12,3.277777778,14/10/2022 18:00
1.67E+12,3.291493056,14/10/2022 18:30
1.67E+12,3.300868056,14/10/2022 19:00
1.67E+12,3.306423611,14/10/2022 19:30
1.67E+12,3.306770833,14/10/2022 20:00
1.67E+12,3.316666667,14/10/2022 20:30
1.67E+12,3.313368056,14/10/2022 21:00
1.67E+12,3.315798611,14/10/2022 21:30
1.67E+12,3.3265625,14/10/2022 22:00
1.67E+12,3.331076389,14/10/2022 22:30
1.67E+12,3.33125,14/10/2022 23:00
1.67E+12,3.341493056,14/10/2022 23:30
1.67E+12,3.343923611,15/10/2022 0:00
1.67E+12,3.35,15/10/2022 0:30
1.67E+12,3.351388889,15/10/2022 1:00
1.67E+12,3.344444444,15/10/2022 1:30
1.67E+12,3.348784722,15/10/2022 2:00
1.67E+12,3.348263889,15/10/2022 2:30
1.67E+12,3.346527778,15/10/2022 3:00
1.67E+12,3.3375,15/10/2022 3:30
1.67E+12,3.336805556,15/10/2022 4:00
1.67E+12,3.340451389,15/10/2022 4:30
1.67E+12,3.333854167,15/10/2022 5:00
1.67E+12,3.340277778,15/10/2022 5:30
1.67E+12,3.333680556,15/10/2022 6:00
1.67E+12,3.344097222,15/10/2022 6:30
1.67E+12,3.350694444,15/10/2022 7:00
1.67E+12,3.34375,15/10/2022 7:30
1.67E+12,3.347395833,15/10/2022 8:00
1.67E+12,3.346701389,15/10/2022 8:30
1.67E+12,3.344965278,15/10/2022 9:00
1.67E+12,3.339236111,15/10/2022 9:30
1.67E+12,3.336111111,15/10/2022 10:00
1.67E+12,3.328125,15/10/2022 10:30
1.67E+12,3.325,15/10/2022 11:00
1.67E+12,3.322048611,15/10/2022 11:30
1.67E+12,3.315798611,15/10/2022 12:00
1.67E+12,3.309201389,15/10/2022 12:30
1.67E+12,3.297916667,15/10/2022 13:00
1.67E+12,3.288368056,15/10/2022 13:30
1.67E+12,3.280381944,15/10/2022 14:00
1.67E+12,3.269270833,15/10/2022 14:30
1.67E+12,3.256076389,15/10/2022 15:00
1.67E+12,3.243576389,15/10/2022 15:30
1.67E+12,3.238541667,15/10/2022 16:00
1.67E+12,3.229340278,15/10/2022 16:30
